Pos,Name,Ba,Sa,Au,Em,Mi,Sp,Mo,As,Ca,Gr,At,Fr,Hu,Be,Ne,It,Si,Ja,US,Me,Br,Ab,B,W,T
1,Basti,9,16,20,20,16,21,27,22,24,11,16,20,9,33,23,24,19,27,20,29,22,13,4,2.50,445
2,Nick,9,18,15,19,22,23,15,13,25,13,15,20,17,20,29,29,13,28,23,28,16,18,4,0.83,432
3,Matthias,8,17,22,25,14,25,25,17,21,11,17,27,18,10,29,17,16,24,20,18,22,21,4,2.00,428
4,Eva,10,23,23,22,23,16,19,8,23,19,16,21,13,30,23,29,13,27,20,19,9,14,0,1.00,420
5,Brent,9,12,20,12,13,19,27,15,23,10,28,17,16,22,27,20,10,28,26,24,9,18,4,1.33,409
6,alexis,6,18,14,17,23,16,14,6,17,16,14,19,10,31,22,32,16,28,25,22,9,16,8,1.50,399
7,Em,7,24,20,7,19,19,19,16,27,15,10,11,8,0,21,16,22,27,30,15,13,35,8,2.17,389
8,Laura,2,11,21,19,31,26,11,9,33,11,20,7,16,25,27,28,8,25,6,21,9,19,4,1.00,389
9,Lardu,10,19,13,19,19,26,19,23,25,11,15,9,14,7,26,20,8,27,18,8,19,23,4,1.00,382
10,Shaun,10,9,17,9,21,9,17,12,22,14,15,20,16,23,12,20,12,22,24,27,15,21,4,,371
11,Saskia,15,8,18,16,26,25,7,7,20,15,13,18,9,16,26,17,17,21,19,24,13,12,8,0.17,370
12,Sven,21,10,25,9,22,15,14,14,20,12,16,15,10,15,25,31,14,20,11,28,6,13,0,,366
13,amandusLuvsHaas,8,26,7,26,19,35,19,17,19,10,11,19,7,17,20,11,11,9,24,18,9,18,4,2.00,364
14,Norbert,8,23,0,10,15,20,14,12,25,10,11,26,10,16,14,28,14,25,24,8,8,16,4,,341
15,Jano,8,20,18,18,15,16,27,13,28,11,12,17,15,0,24,4,14,0,11,0,8,25,8,0.17,312
16,Bernd,13,18,16,12,18,10,0,13,24,12,10,11,13,25,18,18,13,23,18,24,0,0,0,,309
17,Candice,9,21,27,19,9,21,16,10,35,10,6,18,8,12,25,31,14,5,0,0,0,0,8,2.17,304
18,Annica,9,30,17,16,25,15,13,20,12,6,14,17,25,0,20,3,7,0,33,0,0,0,4,3.00,286
19,Rico,0,9,20,8,23,13,14,11,5,9,17,16,14,18,19,4,0,0,0,0,0,0,0,,200
20,SK,24,9,23,0,13,8,30,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,116
21,Lisa,0,22,6,12,16,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100
22,nikita,10,11,21,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,67
23,Kyra,0,22,8,14,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,63
24,Ky,18,0,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40
25,Charlie,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.17,23
26,Desireé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
26,Mark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
26,tiara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
